,,,,,,,,,,,
,,,,,,,,,,,
TEAM,WINS,LOSES,POINT DIFF.,MAKE PLAYOFFS,WIN DIVISION,1ST-ROUND BYE,WIN SUPER BOWL,,,,
New England,11,5,115.1,84%,76%,46%,13%,,,,
New Orleans,10,6,73.6,65%,49%,28%,8%,,,,
Kansas City,10,6,68.2,65%,46%,27%,8%,,,,
L.A. Rams,10,6,67.5,64%,49%,27%,7%,,,,
Chicago,10,6,58.3,60%,44%,24%,6%,,,,
L.A. Chargers,10,6,58.9,60%,40%,22%,6%,,,,
Philadelphia,10,6,64.2,62%,47%,26%,6%,,,,
Pittsburgh,10,6,56.7,59%,40%,21%,5%,,,,
Baltimore,10,6,54.5,58%,38%,21%,5%,,,,
Seattle,9,7,45,54%,38%,19%,5%,,,,
Indianapolis,9,7,38.9,53%,38%,16%,4%,,,,
Dallas,9,7,30,47%,31%,15%,4%,,,,
Minnesota,8,8,18.3,42%,27%,13%,3%,,,,
Atlanta,8,8,0.9,35%,20%,10%,2%,,,,
Carolina,8,8,16.4,41%,24%,12%,3%,,,,
Tennessee,8,8,9.4,41%,27%,12%,3%,,,,
Houston,8,8,-5.6,35%,23%,9%,2%,,,,
Detroit,8,8,-9.8,31%,18%,8%,2%,,,,
Cleveland,7,9,-30.5,24%,12%,5%,<1%,,,,
Jacksonville,7,9,-43.6,21%,12%,4%,<1%,,,,
Green Bay,7,9,-43.2,20%,11%,4%,<1%,,,,
Denver,7,9,-46.8,19%,9%,4%,<1%,,,,
Buffalo,7,9,-32,24%,12%,5%,<1%,,,,
Tampa Bay,6,10,-55.4,16%,8%,3%,<1%,,,,
N.Y. Giants,7,9,-37.6,21%,11%,4%,<1%,,,,
Washington,7,9,-46.1,19%,10%,4%,<1%,,,,
Cincinnati,7,9,-44.8,19%,9%,3%,<1%,,,,
San Francisco,6,10,-61.5,15%,8%,3%,<1%,,,,
Miami,6,10,-66.7,15%,7%,2%,<1%,,,,
Oakland,6,10,-80.9,11%,5%,2%,<1%,,,,
N.Y. Jets,6,10,-77.8,12%,5%,2%,<1%,,,,
Arizona,5,11,-93.5,9%,5%,1%,<1%,,,,
,,,,,,,,,,,
